x,y,z
-1199,495,-479
-1143,511,-415
-1103,527,-375
-1039,511,-327
-999,511,-287
-1023,503,-255
-983,503,-247
-999,527,-215
-999,519,-207
-1023,519,-231
-1031,543,-199
-1063,567,-191
-1071,599,-183
-1111,639,-215
-1119,655,-231
-1087,703,-199
-1063,767,-231
-1055,863,-215
-1023,983,-191
-959,1087,-167
-887,1199,-191
-839,1319,-159
-775,1415,-191
-687,1511,-215
-679,1591,-191
-671,1663,-167
-687,1727,-167
-703,1775,-127
-775,1735,-143
-927,1775,-71
-1039,1775,-71
-1199,1719,-63
-1287,1703,-119
-1391,1695,-135
-1495,1743,-151
-1647,1775,-215
-1735,1791,-207
-1871,1807,-255
-1983,1823,-287
-2119,1871,-271
-2255,1839,-295
-2375,1823,-255
-2471,1767,-263
-2567,1727,-263
-2679,1655,-271
-2807,1591,-247
-2911,1519,-263
-3014,1495,-263
-3078,1431,-271
-3134,1407,-255
-3198,1335,-279
-3326,1279,-327
-3414,1183,-375
-3526,1111,-431
-3630,1015,-511
-3758,887,-639
-3838,823,-639
-3942,735,-751
-4062,687,-751
-4190,631,-807
-4302,519,-823
-4422,423,-879
-4582,383,-871
-4638,311,-839
-4710,247,-783
-4750,159,-623
-4758,79,-431
-4678,-23,-239
-4574,-143,15
-4390,-223,255
-4182,-255,519
-3902,-375,799
-3606,-431,1023
-3326,-487,1191
-3094,-511,1383
-2911,-551,1495
-2759,-655,1663
-2663,-647,1727
-2607,-759,1911
-2543,-823,1927
-2455,-903,2039
-2303,-927,2119
-2199,-983,2183
-2031,-1023,2183
-1935,-1055,2239
-1767,-1055,2207
-1591,-1047,2159
-1487,-1015,2135
-1359,-1023,2087
-1271,-967,2031
-1215,-927,2007
-1167,-903,1935
-1095,-831,1895
-1047,-775,1807
-959,-711,1823
-879,-687,1815
-823,-647,1727
-759,-655,1791
-719,-607,1775
-647,-599,1727
-551,-575,1727
-479,-575,1703
-415,-591,1703
-295,-591,1671
-239,-567,1655
-135,-567,1607
-55,-583,1615
0,-583,1615
7,-631,1567
47,-647,1575
95,-647,1623
103,-679,1671
111,-695,1735
151,-767,1759
183,-823,1839
255,-887,1855
375,-967,1943
471,-1063,1967
591,-1167,1999
751,-1287,2063
871,-1407,2087
1047,-1551,2111
1215,-1663,2167
1359,-1767,2183
1535,-1823,2175
1647,-1927,2151
1703,-1919,2143
1783,-1847,2119
1791,-1759,2135
1759,-1631,2063
1727,-1479,2071
1631,-1359,2031
1591,-1255,1999
1535,-1167,1959
1439,-1103,1959
1351,-1063,1935
1311,-1023,1903
1271,-1023,1903
1215,-1023,1871
1103,-1023,1839
1047,-1015,1839
911,-911,1863
759,-871,1871
583,-767,1871
415,-687,1871
255,-591,1887
-87,-471,1871
-639,-255,1879
-1391,95,1759
-2151,447,1479
-2934,751,1159
-3574,991,775
-4022,767,487
-4350,1175,-159
-4742,1239,-783
-5830,1295,-1023
-5933,1223,-1751
-6237,1247,-2895
-5758,775,-3870
-4550,183,-4726
-2367,-399,-5542
-1271,-1079,-5438
-1647,-1687,-4630
-2535,-1463,-3726
-2807,-1695,-2998
-2687,-1863,-2535
-2239,-1895,-2255
-1783,-1903,-2167
-1551,-2079,-2239
-1423,-2143,-2359
-1447,-1887,-2447
-1631,-1599,-2511
-1791,-1367,-2583
-1935,-1135,-2647
-2071,-943,-2711
-2119,-767,-2711
-2135,-583,-2687
-2055,-439,-2607
-1919,-247,-2487
-1767,-191,-2359
-1543,-191,-2079
-1359,-207,-1823
-1239,-247,-1671
-1111,-303,-1495
-1007,-367,-1335
-927,-463,-1207
-863,-471,-1095
-831,-511,-1023
-783,-511,-951
-767,-527,-847
-775,-511,-775
-727,-455,-743
-255,215,71
-183,175,223
-111,191,343
-39,191,447
31,255,535
103,255,663
183,319,719
295,351,767
375,415,807
431,447,871
471,511,951
455,583,999
479,591,1047
455,623,1103
439,599,1095
439,615,1183
399,639,1183
375,551,1239
343,559,1335
343,495,1383
375,447,1447
447,287,1519
511,247,1551
647,159,1567
799,0,1599
1007,-103,1623
1279,-327,1591
1575,-503,1615
1999,-767,1631
2327,-959,1591
2551,-1167,1551
2695,-1279,1535
2823,-1415,1455
2903,-1423,1383
2974,-1375,1287
2990,-1279,1199
2927,-1191,1143
2839,-1079,1039
2735,-1015,991
2575,-991,903
2471,-935,855
2167,-807,799
1759,-703,775
1311,-511,759
807,-303,607
0,0,439
-1231,383,0
-2863,1039,-679
-3638,1639,-1415
-3654,1407,-1991
-3230,1807,-2751
-2615,1279,-3198
-2015,799,-3342
-1615,367,-3158
-1295,-71,-2799
-967,-191,-2527
-775,-319,-2367
-575,-519,-2279
-431,-687,-2255
-327,-719,-2255
-335,-727,-2263
-343,-655,-2351
-391,-543,-2343
-479,-487,-2407
-575,-415,-2415
-647,-359,-2407
-647,-255,-2375
-623,-207,-2319
-591,-135,-2287
-559,-47,-2191
-567,-7,-2127
-567,23,-2039
-583,47,-1983
-631,87,-1903
-615,143,-1815
-607,175,-1743
-583,215,-1631
-567,255,-1527
-543,247,-1415
-503,279,-1279
-447,287,-1199
-383,287,-1039
-351,255,-935
-327,263,-815
-303,247,-711
-263,255,-615
-255,207,-495
-207,191,-375
151,255,287
247,303,343
295,391,423
335,439,463
383,479,519
431,535,551
471,575,631
479,631,671
519,631,775
431,671,831
543,647,863
591,599,999
639,583,1087
663,543,1167
703,471,1191
719,383,1263
823,231,1367
919,119,1447
1079,23,1495
1295,-95,1535
1279,-199,1519
1279,-351,1391
1311,-447,1519
1311,-567,1527
1519,-615,1575
1535,-655,1567
1671,-735,1503
1687,-719,1367
1743,-735,1327
1767,-695,1303
1727,-679,1295
1767,-647,1295
1791,-607,1247
1807,-615,1207
1815,-599,1199
1847,-647,1127
1879,-695,1079
1887,-735,1055
1911,-759,1055
1887,-791,999
1815,-791,975
1647,-743,935
1423,-671,951
1199,-599,991
943,-559,959
543,-431,943
0,-255,895
-871,-23,799
-1951,239,479
-2942,559,0
-3462,775,-575
-3590,735,-1183
-3502,535,-1927
-3078,391,-2495
-2703,175,-3046
-2495,0,-3222
-2335,-95,-3286
-2247,-175,-3190
-2175,-343,-3022
-2039,-575,-2839
-1711,-831,-2599
-1463,-975,-2407
-1271,-975,-2247
-1055,-943,-2087
-903,-879,-2031
-783,-743,-2031
-719,-591,-1951
-719,-511,-1991
-767,-383,-1983
-799,-303,-2031
-887,-143,-2015
-911,7,-1991
-919,151,-1967
-943,255,-1919
-967,399,-1823
-943,383,-1743
-847,463,-1599
-807,495,-1535
-759,479,-1319
-711,503,-1231
-599,471,-1063
-519,439,-935
-423,415,-783
-359,391,-679
-271,399,-511
-215,359,-399
-95,319,-287
0,319,-183
7,335,-47
95,311,15
183,303,79
255,287,127
287,303,231
359,375,271
423,423,319
503,463,375
559,511,439
559,543,511
599,543,559
607,543,591
663,511,703
695,471,759
735,415,847
767,327,903
791,247,911
815,183,983
895,55,1079
999,0,1095
1095,-183,1183
1223,-271,1231
1303,-383,1279
1455,-535,1327
1551,-567,1335
1631,-679,1319
1743,-727,1279
1791,-783,1239
1903,-751,1183
1935,-751,1151
2015,-719,1111
2047,-711,1063
2047,-703,1055
2015,-719,975
2007,-711,983
1991,-711,943
2015,-759,903
1959,-767,879
1935,-823,855
1879,-839,831
1823,-783,815
1735,-783,855
1623,-767,863
1471,-695,847
1231,-583,919
1023,-463,927
687,-303,951
279,-183,959
-279,0,943
-751,135,895
-1175,207,815
-1535,295,751
-1855,311,647
-2167,223,511
-2727,223,351
-2775,-31,63
-3390,-95,-271
-3510,-143,-767
-3502,-255,-1223
-3358,-383,-1727
-2839,-487,-2119
-3046,-319,-2559
-2727,-55,-2807
-2599,447,-2927
-1991,511,-2679
-1703,727,-2487
-1527,999,-2263
-1295,1239,-2111
-1167,1191,-1791
-895,1183,-1559
-559,1071,-1167
-335,999,-991
-255,983,-823
-47,879,-695
0,783,-615
0,703,-535
-55,511,-519
-119,367,-511
-135,207,-479
-215,79,-551
-303,-31,-551
-327,-103,-527
-367,-143,-503
-407,-167,-479
-415,-207,-423
-423,-183,-375
-391,-167,-375
-391,-151,-327
-407,-103,-327
-415,-71,-279
-383,-39,-255
-375,7,-255
-383,15,-191
-383,55,-135
-399,31,-103
-399,23,-79
-511,71,-23
-655,95,-79
-815,111,-167
-999,143,-183
-1087,159,-271
-1231,167,-311
-1327,159,-423
-1455,223,-495
-1551,223,-591
-1631,319,-623
-1743,319,-735
-1799,351,-839
-1863,391,-943
-1919,511,-1055
-1919,575,-1127
-1927,655,-1111
-1895,671,-1135
-1903,751,-1159
-1887,759,-1151
-1887,775,-1135
-1927,743,-1111
-1927,735,-1063
-1967,703,-1087
-2007,663,-1071
-2047,615,-1031
-2079,583,-1055
-2119,527,-1087
-2183,519,-1119
-2303,503,-1207
-2359,511,-1271
-2399,511,-1383
-2439,559,-1391
-2471,551,-1455
-2519,631,-1511
-2559,655,-1559
-2591,767,-1583
-2583,791,-1583
-2631,855,-1623
-2623,847,-1567
-2607,927,-1607
-2615,927,-1567
-2583,903,-1511
-2559,855,-1447
-2543,863,-1391
-2559,775,-1335
-2519,727,-1319
-2551,639,-1191
-2511,567,-1159
-2503,487,-1047
-2447,431,-927
-2423,335,-871
-2351,255,-767
-2303,215,-655
-2215,151,-559
-2183,39,-519
-2087,0,-423
-2015,-79,-311
-1919,-103,-239
-1847,-119,-175
-1743,-127,-119
-1711,-199,-63
-1687,-207,-7
-1607,-183,0
-1543,-183,87
-1503,-167,127
-1447,-151,159
-1359,-103,191
-1287,-63,263
-1183,-55,327
-1103,-55,343
-1039,-63,375
-999,-31,391
-943,0,455
-919,0,511
-879,7,543
-847,23,527
-815,23,551
-783,47,559
-743,39,583
-727,23,575
-735,55,575
-647,39,623
-623,55,639
-583,39,671
-559,31,663
-511,-23,719
-455,-39,767
-431,-95,767
-415,-103,727
-375,-231,767
-327,-271,783
-311,-359,831
-271,-439,823
-239,-535,815
-199,-615,823
-183,-711,807
-151,-783,847
-127,-847,839
-71,-959,831
-47,-1023,815
0,-1055,815
-55,-1119,831
0,-1119,767
23,-1135,823
