x,y,z
-231,903,543
-223,895,511
-239,951,471
-239,1007,479
-207,983,503
-175,1047,487
-183,1031,511
-231,1055,535
-279,1015,559
-335,991,583
-367,975,551
-447,911,511
-423,951,527
-375,911,431
-319,887,367
-183,791,239
0,687,191
199,591,119
487,543,103
767,639,151
1119,727,199
1431,879,271
1839,999,255
2175,1151,303
2511,1287,311
2863,1375,247
3102,1463,191
3326,1535,111
3438,1575,-71
3502,1615,-247
3422,1655,-335
3334,1639,-511
3150,1687,-615
3030,1743,-695
2863,1751,-807
2695,1831,-903
2535,1855,-943
2359,1927,-943
2199,1943,-1007
2015,1959,-983
1807,1959,-1023
1631,1959,-1063
1407,1903,-1063
1199,1879,-1103
967,1767,-1159
815,1703,-1183
703,1631,-1279
599,1535,-1287
551,1407,-1343
511,1327,-1383
535,1231,-1423
599,1143,-1535
639,991,-1551
687,919,-1575
767,775,-1663
895,703,-1655
983,591,-1735
1111,519,-1775
1199,471,-1831
1319,367,-1919
1375,303,-1991
1423,215,-2079
1463,111,-2135
1471,23,-2191
1439,-79,-2263
1399,-191,-2319
1335,-295,-2359
1271,-407,-2367
1207,-479,-2359
1063,-631,-2399
967,-623,-2327
871,-695,-2351
855,-759,-2311
791,-767,-2303
759,-831,-2191
759,-831,-2127
767,-839,-2039
815,-839,-1887
887,-807,-1783
919,-743,-1695
1007,-719,-1583
1063,-647,-1503
1143,-607,-1399
1215,-463,-1279
1295,-383,-1175
1367,-303,-1119
1447,-231,-1039
1519,-127,-1023
1607,-95,-999
1663,31,-1015
1767,87,-1023
1839,199,-1039
1879,279,-1063
1951,399,-1167
2047,487,-1255
2095,583,-1311
2207,663,-1359
2335,799,-1407
2487,983,-1503
2583,1135,-1503
2671,1279,-1471
2703,1359,-1407
2687,1375,-1327
2615,1375,-1239
2567,1287,-1239
2487,1239,-1255
2455,1231,-1311
2471,1295,-1271
2511,1327,-1279
2551,1455,-1255
2607,1615,-1167
2623,1799,-1031
2647,1951,-935
2583,2095,-775
2487,2183,-695
2359,2335,-567
2183,2399,-311
